,Cumulative Winnings
1320,-299549
1321,-299274
1322,-299224
1323,-297424
1324,-297845
1325,-299645
1326,-297845
1327,-297545
1328,-299445
1329,-299245
1330,-299716
1331,-300216
1332,-300166
1333,-302640
1334,-302340
1335,-302240
1336,-301789
1337,-304309
1338,-304005
1339,-303670
1340,-305710
1341,-308374
1342,-308174
1343,-308074
1344,-308024
1345,-308871
1346,-308271
1347,-307733
1348,-307533
1349,-307433
1350,-308231
1351,-308131
1352,-308904
1353,-309504
1354,-309003
1355,-307268
1356,-307068
1357,-306768
1358,-307168
1359,-312568
1360,-308527
1361,-309127
1362,-308430
1363,-307830
1364,-310710
1365,-310610
1366,-310410
1367,-311252
1368,-311052
1369,-308990
1370,-308790
1371,-308490
1372,-308290
1373,-308190
1374,-307990
1375,-307890
1376,-307840
1377,-307540
1378,-307490
1379,-307290
1380,-307090
1381,-307959
1382,-305497
1383,-305397
1384,-304797
1385,-305697
1386,-306919
1387,-306390
1388,-306190
1389,-306090
1390,-306497
1391,-306397
1392,-305497
1393,-305197
1394,-305147
1395,-305047
1396,-304997
1397,-307397
1398,-307347
1399,-307047
1400,-306372
1401,-306972
1402,-315072
1403,-311472
1404,-316872
1405,-316572
1406,-316522
1407,-316422
1408,-316222
1409,-318222
1410,-317764
1411,-319114
1412,-318914
1413,-320978
1414,-320778
1415,-322412
1416,-322212
1417,-321612
1418,-320412
1419,-320112
1420,-320908
1421,-320308
1422,-316858
1423,-316258
1424,-312208
1425,-312108
1426,-311908
1427,-314308
1428,-314108
1429,-316808
1430,-315008
1431,-313279
1432,-313813
1433,-313213
1434,-312413
1435,-310613
1436,-311113
1437,-311113
1438,-310513
1439,-309913
1440,-309571
1441,-312725
1442,-312316
1443,-312216
1444,-311409
1445,-310535
1446,-313637
1447,-311199
1448,-310999
1449,-310899
1450,-311881
1451,-314281
1452,-334281
1453,-333981
1454,-337821
1455,-337721
1456,-340889
1457,-341823
1458,-340145
1459,-340713
1460,-341213
1461,-341113
1462,-340913
1463,-340097
1464,-337004
1465,-340364
1466,-340164
1467,-340468
1468,-340268
1469,-341168
1470,-343006
1471,-346606
1472,-345923
1473,-348623
1474,-348423
1475,-352114
1476,-351530
1477,-351430
1478,-351230
1479,-351530
1480,-351330
1481,-351230
1482,-351853
1483,-351253
1484,-350681
1485,-350581
1486,-350381
1487,-350381
1488,-349612
1489,-349512
1490,-349082
1491,-352862
1492,-353584
1493,-353284
1494,-352484
1495,-352209
1496,-353014
1497,-352414
1498,-349214
1499,-349114
1500,-348711
1501,-349131
1502,-359211
1503,-358911
1504,-358011
1505,-370971
1506,-370558
1507,-368758
1508,-367958
1509,-367858
1510,-366876
1511,-366576
1512,-364776
1513,-364176
1514,-369696
1515,-369456
1516,-370318
1517,-369218
1518,-369018
1519,-368918
1520,-368718
1521,-368118
1522,-367727
1523,-367127
1524,-366927
1525,-365833
1526,-365633
1527,-365433
1528,-365233
1529,-366655
1530,-366455
1531,-366862
1532,-366354
1533,-367667
1534,-370867
1535,-369178
1536,-368978
1537,-367778
1538,-367578
1539,-366978
1540,-366778
1541,-366678
1542,-366178
1543,-366968
1544,-366768
1545,-372168
1546,-371250
1547,-371150
1548,-370950
1549,-370850
1550,-371690
1551,-373850
1552,-373650
1553,-374297
1554,-373785
1555,-373185
1556,-372808
1557,-374051
1558,-373851
1559,-373551
1560,-372951
1561,-373511
1562,-374207
1563,-373907
1564,-353907
1565,-353807
1566,-364607
1567,-364407
1568,-364968
1569,-364868
1570,-365168
1571,-366368
1572,-366168
1573,-365968
1574,-364767
1575,-365356
1576,-365656
1577,-366856
1578,-366096
1579,-371496
1580,-371446
1581,-371246
1582,-370846
1583,-370185
1584,-373065
1585,-370365
1586,-370886
1587,-370786
1588,-380146
1589,-380046
1590,-376731
1591,-375616
1592,-375016
1593,-374916
1594,-376703
1595,-377103
1596,-376726
1597,-376426
1598,-376376
1599,-375776
1600,-379730
1601,-378505
1602,-378455
1603,-378355
1604,-377395
1605,-385495
1606,-387655
1607,-387555
1608,-387251
1609,-387151
1610,-386951
1611,-384551
1612,-384501
1613,-384401
1614,-384201
1615,-383865
1616,-383665
1617,-381865
1618,-381815
1619,-381440
1620,-381240
1621,-379672
1622,-379622
1623,-377822
1624,-377772
1625,-376970
1626,-376770
1627,-376670
1628,-376325
1629,-376024
1630,-375656
1631,-375556
1632,-377441
1633,-377141
1634,-377091
1635,-376991
1636,-376791
1637,-376189
1638,-380055
1639,-379755
1640,-379555
1641,-379455
1642,-380653
1643,-380553
1644,-380353
1645,-380954
1646,-382154
1647,-381317
1648,-380717
1649,-379968
1650,-379918
1651,-383518
1652,-383318
1653,-385217
1654,-385017
1655,-386817
1656,-387317
1657,-387117
1658,-386917
1659,-386817
1660,-385729
1661,-385629
1662,-384503
1663,-385703
1664,-384703
1665,-384603
1666,-385103
1667,-385003
1668,-384803
1669,-384307
1670,-384257
1671,-384157
1672,-382957
1673,-382857
1674,-382518
1675,-382518
1676,-382318
1677,-386638
1678,-386438
1679,-386100
1680,-385900
1681,-385600
1682,-385400
1683,-386522
1684,-387229
1685,-386957
1686,-387852
1687,-386052
1688,-385452
1689,-385152
1690,-384952
1691,-384852
1692,-384652
1693,-381052
1694,-383010
1695,-384810
1696,-384452
1697,-384352
1698,-384152
1699,-383852
1700,-383652
1701,-383119
1702,-382919
1703,-382819
1704,-382619
1705,-382319
1706,-381519
1707,-381419
1708,-381219
1709,-380751
1710,-381354
1711,-380901
1712,-380701
1713,-379903
1714,-379437
1715,-378837
1716,-378637
1717,-378537
1718,-379505
1719,-378905
1720,-377707
1721,-377607
1722,-377557
1723,-376357
1724,-376157
1725,-377457
1726,-384657
1727,-385157
1728,-385725
1729,-385491
1730,-386589
1731,-387444
1732,-387244
1733,-386944
1734,-386344
1735,-386044
1736,-385844
1737,-386404
1738,-386204
1739,-384242
1740,-384192
1741,-383591
1742,-383391
1743,-383291
1744,-382091
1745,-383691
1746,-384236
1747,-383040
1748,-382840
1749,-383240
1750,-384102
1751,-384002
1752,-382787
1753,-380987
1754,-380787
1755,-380051
1756,-377281
1757,-377081
1758,-376346
1759,-387146
1760,-389956
1761,-388366
1762,-387615
1763,-393015
1764,-391815
1765,-397215
1766,-397165
1767,-397065
1768,-396865
1769,-396765
1770,-398514
1771,-398214
1772,-398719
1773,-387919
1774,-387183
1775,-386983
1776,-386783
1777,-387623
1778,-387423
1779,-387323
1780,-387123
1781,-393063
1782,-392291
1783,-391600
1784,-391550
1785,-391450
1786,-390716
1787,-390116
1788,-389362
1789,-391058
1790,-390727
1791,-391425
1792,-393510
1793,-392681
1794,-393224
1795,-393624
1796,-393249
1797,-393149
1798,-394949
1799,-394492
1800,-394442
1801,-394142
1802,-393678
1803,-388278
1804,-387478
1805,-387378
1806,-386914
1807,-384514
1808,-382914
1809,-382456
1810,-383871
1811,-385270
1812,-384676
1813,-384476
1814,-384276
1815,-384176
1816,-383976
1817,-383676
1818,-383476
1819,-383376
1820,-384800
1821,-384700
1822,-384351
1823,-384251
1824,-383451
1825,-383351
1826,-383301
1827,-383001
1828,-384561
1829,-384077
1830,-383877
1831,-383777
1832,-383177
1833,-383577
1834,-381810
1835,-380130
1836,-381039
1837,-380739
1838,-380689
1839,-380589
1840,-379874
1841,-379574
1842,-380074
1843,-380674
1844,-381191
1845,-384791
1846,-382991
1847,-382891
1848,-382691
1849,-382591
1850,-382172
1851,-381872
1852,-382716
1853,-382416
1854,-382065
1855,-381865
1856,-377065
1857,-377965
1858,-377915
1859,-378615
1860,-377415
1861,-377115
1862,-376707
1863,-376607
1864,-380429
1865,-380129
1866,-385529
1867,-390929
1868,-393040
1869,-387985
1870,-385703
1871,-386103
1872,-391332
1873,-391232
1874,-391032
1875,-391432
1876,-391382
1877,-391282
1878,-391082
1879,-391482
1880,-391282
1881,-391082
1882,-392245
1883,-395605
1884,-396212
1885,-396012
1886,-396631
1887,-397040
1888,-402440
1889,-402140
1890,-402753
1891,-403353
1892,-403153
1893,-401353
1894,-401153
1895,-401453
1896,-402010
1897,-401910
1898,-398310
1899,-398710
1900,-398660
1901,-398560
1902,-398170
1903,-400473
1904,-400156
1905,-399373
1906,-399173
1907,-399073
1908,-398503
1909,-399560
1910,-399360
1911,-401137
1912,-400337
1913,-403995
1914,-405287
1915,-405187
1916,-404721
1917,-404421
1918,-403965
1919,-403865
1920,-403065
1921,-404865
1922,-404815
1923,-404615
1924,-404415
1925,-405798
1926,-405598
1927,-404432
1928,-406228
1929,-406028
1930,-404825
1931,-404225
1932,-404025
1933,-403925
1934,-402978
1935,-402878
1936,-402306
1937,-401506
1938,-401306
1939,-401506
1940,-400606
1941,-400506
1942,-400456
1943,-401523
1944,-401323
1945,-401023
1946,-411823
1947,-411723
1948,-411523
1949,-412323
1950,-407412
1951,-406269
1952,-402669
1953,-403269
1954,-405265
1955,-405058
1956,-405008
1957,-407408
1958,-407108
1959,-410708
1960,-411221
1961,-411121
1962,-410921
1963,-409428
1964,-409378
1965,-411778
1966,-411728
1967,-411128
1968,-410616
1969,-410316
1970,-412416
1971,-413378
1972,-412856
1973,-413656
1974,-413456
1975,-413756
1976,-411785
1977,-411170
1978,-416570
1979,-416470
1980,-420038
1981,-420458
1982,-421538
1983,-422011
1984,-421394
1985,-420820
1986,-424864
1987,-423664
1988,-423351
1989,-423251
1990,-426041
1991,-430721
1992,-431438
1993,-431338
1994,-431138
1995,-431038
1996,-430838
1997,-430400
1998,-430956
1999,-430356
2000,-430306
2001,-430006
2002,-429806
2003,-429285
2004,-426885
2005,-427485
2006,-434205
2007,-454205
2008,-454005
2009,-462105
2010,-461905
2011,-461805
2012,-461605
2013,-459805
2014,-459158
2015,-458346
2016,-459348
2017,-461688
2018,-463473
2019,-463173
2020,-465048
2021,-464948
2022,-464748
2023,-465251
2024,-466538
2025,-466438
2026,-466238
2027,-466638
2028,-466241
2029,-466899
2030,-466849
2031,-466749
2032,-466699
2033,-473899
2034,-474385
2035,-474785
2036,-494785
2037,-494685
2038,-494485
2039,-499885
2040,-500603
2041,-500503
2042,-499010
2043,-498610
2044,-499851
2045,-499303
2046,-498923
2047,-500082
2048,-500032
2049,-499932
2050,-499882
2051,-499582
2052,-500721
2053,-500421
2054,-497293
2055,-496693
2056,-498373
2057,-499428
2058,-498630
2059,-498330
2060,-498130
2061,-498030
2062,-497600
2063,-497000
2064,-496800
2065,-496171
2066,-495241
2067,-511441
2068,-511125
2069,-510825
2070,-511125
2071,-511025
2072,-510825
2073,-514425
2074,-513525
2075,-513225
2076,-512200
2077,-511597
2078,-511089
2079,-511289
2080,-511089
2081,-510989
2082,-509789
2083,-513389
2084,-514051
2085,-512371
2086,-513575
2087,-513475
2088,-513275
2089,-514533
2090,-513933
2091,-512991
2092,-512517
2093,-512817
2094,-512617
2095,-514217
2096,-513766
2097,-513566
2098,-513366
2099,-513266
2100,-513583
2101,-513483
2102,-513283
2103,-513083
2104,-514883
2105,-514283
2106,-514083
2107,-513848
2108,-513648
2109,-513948
2110,-515130
2111,-515130
2112,-514930
2113,-514830
2114,-514630
2115,-514330
2116,-515655
2117,-515389
2118,-515189
2119,-516816
2120,-516616
2121,-517418
2122,-516574
