,Cumulative Winnings
1391,-270724.5
1392,-270874.5
1393,-270774.5
1394,-270474.5
1395,-270549.5
1396,-290549.5
1397,-290449.5
1398,-290149.5
1399,-290049.5
1400,-290199.5
1401,-290099.5
1402,-286974.5
1403,-286874.5
1404,-286674.5
1405,-286574.5
1406,-286374.5
1407,-286449.5
1408,-286399.5
1409,-286299.5
1410,-286249.5
1411,-286324.5
1412,-286024.5
1413,-285924.5
1414,-285624.5
1415,-283524.5
1416,-283324.5
1417,-283024.5
1418,-282824.5
1419,-282724.5
1420,-282124.5
1421,-282024.5
1422,-281974.5
1423,-281874.5
1424,-281124.5
1425,-280824.5
1426,-280524.5
1427,-280224.5
1428,-280174.5
1429,-281224.5
1430,-281174.5
1431,-281074.5
1432,-281224.5
1433,-261224.5
1434,-261024.5
1435,-260724.5
1436,-260424.5
1437,-260424.5
1438,-260574.5
1439,-260649.5
1440,-260599.5
1441,-260499.5
1442,-259749.5
1443,-259649.5
1444,-259449.5
1445,-259524.5
1446,-259324.5
1447,-259224.5
1448,-259024.5
1449,-279024.5
1450,-278974.5
1451,-278874.5
1452,-279024.5
1453,-278924.5
1454,-278624.5
1455,-278624.5
1456,-278424.5
1457,-278124.5
1458,-278074.5
1459,-277974.5
1460,-277574.5
1461,-277474.5
1462,-277274.5
1463,-277174.5
1464,-276974.5
1465,-276674.5
1466,-276474.5
1467,-276474.5
1468,-276624.5
1469,-276424.5
1470,-276224.5
1471,-276124.5
1472,-276274.5
1473,-276074.5
1474,-275674.5
1475,-275374.5
1476,-274974.5
1477,-274874.5
1478,-273674.5
1479,-273574.5
1480,-273374.5
1481,-273074.5
1482,-272474.5
1483,-272549.5
1484,-272349.5
1485,-272249.5
1486,-272049.5
1487,-271949.5
1488,-271549.5
1489,-271449.5
1490,-291449.5
1491,-291524.5
1492,-292274.5
1493,-291674.5
1494,-291474.5
1495,-291474.5
1496,-291924.5
1497,-291824.5
1498,-291974.5
1499,-291874.5
1500,-291574.5
1501,-290574.5
1502,-290724.5
1503,-292974.5
1504,-292674.5
1505,-292674.5
1506,-292974.5
1507,-292874.5
1508,-312874.5
1509,-312774.5
1510,-312924.5
1511,-312999.5
1512,-312499.5
1513,-312399.5
1514,-312549.5
1515,-312624.5
1516,-312424.5
1517,-312324.5
1518,-312124.5
1519,-312124.5
1520,-312274.5
1521,-312174.5
1522,-312624.5
1523,-312699.5
1524,-312699.5
1525,-311499.5
1526,-311649.5
1527,-311349.5
1528,-311499.5
1529,-311574.5
1530,-311374.5
1531,-311274.5
1532,-310874.5
1533,-310574.5
1534,-310274.5
1535,-312524.5
1536,-312674.5
1537,-312074.5
1538,-312224.5
1539,-311624.5
1540,-312074.5
1541,-311974.5
1542,-312124.5
1543,-312024.5
1544,-310224.5
1545,-309924.5
1546,-309624.5
1547,-309624.5
1548,-329624.5
1549,-329424.5
1550,-329124.5
1551,-329024.5
1552,-328824.5
1553,-327624.5
1554,-327424.5
1555,-327424.5
1556,-327224.5
1557,-327124.5
1558,-327574.5
1559,-326674.5
1560,-326374.5
1561,-325774.5
1562,-325474.5
1563,-325374.5
1564,-325374.5
1565,-325274.5
1566,-325724.5
1567,-345724.5
1568,-345424.5
1569,-345324.5
1570,-345124.5
1571,-344924.5
1572,-344424.5
1573,-344499.5
1574,-342699.5
1575,-342849.5
1576,-342799.5
1577,-342699.5
1578,-342499.5
1579,-342399.5
1580,-342199.5
1581,-342099.5
1582,-341899.5
1583,-341974.5
1584,-341774.5
1585,-341849.5
1586,-341649.5
1587,-341549.5
1588,-341349.5
1589,-341249.5
1590,-340849.5
1591,-340749.5
1592,-340449.5
1593,-339549.5
1594,-339549.5
1595,-339449.5
1596,-339249.5
1597,-339149.5
1598,-338949.5
1599,-338849.5
1600,-338649.5
1601,-338549.5
1602,-338349.5
1603,-338249.5
1604,-337749.5
1605,-337749.5
1606,-337449.5
1607,-336849.5
1608,-336349.5
1609,-336799.5
